2025-12-11 at 09:02:56 | INFO | saas
2025-12-11 at 09:04:42 | INFO | saas
2025-12-11 at 09:24:47 | INFO | 正在初始化
2025-12-11 at 09:24:47 | INFO | 初始化完成
2025-12-11 at 09:53:06 | INFO | 正在初始化
2025-12-11 at 09:53:06 | INFO | 初始化完成
2025-12-11 at 09:53:06 | INFO | 当前位置：
2025-12-11 at 09:53:07 | INFO | 正在进入
2025-12-11 at 09:53:11 | INFO | 无学习任务
2025-12-11 at 09:55:09 | INFO | 正在初始化
2025-12-11 at 09:55:09 | INFO | 初始化完成
2025-12-11 at 09:55:09 | INFO | 当前位置：首页
2025-12-11 at 09:55:10 | INFO | 正在进入 个人中心
2025-12-11 at 09:55:14 | INFO | 无学习任务
2025-12-11 at 11:15:22 | INFO | 正在初始化
2025-12-11 at 11:16:00 | INFO | 正在初始化
2025-12-11 at 11:16:03 | INFO | 账号输入完成
2025-12-11 at 11:16:04 | INFO | 密码输入完成
2025-12-11 at 11:16:05 | INFO | 已勾选协议
2025-12-11 at 11:16:05 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 11:16:12 | INFO | 正在初始化
2025-12-11 at 11:16:12 | INFO | 初始化完成
2025-12-11 at 11:16:16 | INFO | 无学习任务，直接退出
2025-12-11 at 11:17:09 | INFO | 正在初始化
2025-12-11 at 11:17:11 | INFO | 账号输入完成
2025-12-11 at 11:17:13 | INFO | 密码输入完成
2025-12-11 at 11:17:13 | INFO | 已勾选协议
2025-12-11 at 11:17:13 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 11:17:13 | ERROR | 图片保存成功：slider.png
2025-12-11 at 11:17:13 | ERROR | 图片保存成功：background.png
2025-12-11 at 11:18:59 | INFO | 正在初始化
2025-12-11 at 11:19:22 | INFO | 正在初始化
2025-12-11 at 11:19:25 | INFO | 账号输入完成
2025-12-11 at 11:19:26 | INFO | 密码输入完成
2025-12-11 at 11:19:26 | INFO | 已勾选协议
2025-12-11 at 11:19:26 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 11:19:26 | ERROR | 图片保存成功：slider.png
2025-12-11 at 11:19:26 | ERROR | 图片保存成功：background.png
2025-12-11 at 11:24:00 | INFO | 正在初始化
2025-12-11 at 11:24:03 | INFO | 账号输入完成
2025-12-11 at 11:24:05 | INFO | 密码输入完成
2025-12-11 at 11:24:05 | INFO | 已勾选协议
2025-12-11 at 11:24:05 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 11:24:05 | ERROR | 图片保存成功：slider.png
2025-12-11 at 11:24:05 | ERROR | 图片保存成功：background.png
2025-12-11 at 11:36:44 | INFO | 正在初始化
2025-12-11 at 11:36:47 | INFO | 账号输入完成
2025-12-11 at 11:36:49 | INFO | 密码输入完成
2025-12-11 at 11:36:49 | INFO | 已勾选协议
2025-12-11 at 11:36:50 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 11:36:50 | INFO | 图片保存成功：slider.png
2025-12-11 at 11:36:50 | INFO | 图片保存成功：background.png
2025-12-11 at 14:48:29 | INFO | 正在初始化
2025-12-11 at 14:48:32 | INFO | 账号输入完成
2025-12-11 at 14:48:34 | INFO | 密码输入完成
2025-12-11 at 14:48:34 | INFO | 已勾选协议
2025-12-11 at 14:48:34 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 14:48:34 | INFO | 图片保存成功：slider.png
2025-12-11 at 14:48:34 | INFO | 图片保存成功：background.png
2025-12-11 at 14:49:54 | INFO | 正在初始化
2025-12-11 at 14:49:56 | INFO | 账号输入完成
2025-12-11 at 14:49:58 | INFO | 密码输入完成
2025-12-11 at 14:49:58 | INFO | 已勾选协议
2025-12-11 at 14:49:58 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 14:49:58 | INFO | 图片保存成功：slider.png
2025-12-11 at 14:49:58 | INFO | 图片保存成功：background.png
2025-12-11 at 14:58:52 | INFO | 正在初始化
2025-12-11 at 14:58:55 | INFO | 账号输入完成
2025-12-11 at 14:58:57 | INFO | 密码输入完成
2025-12-11 at 14:58:57 | INFO | 已勾选协议
2025-12-11 at 14:58:57 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 14:58:57 | INFO | 图片保存成功：slider.png
2025-12-11 at 14:58:57 | ERROR | 图片保存失败：background.png
2025-12-11 at 15:02:29 | INFO | 正在初始化
2025-12-11 at 15:02:32 | INFO | 账号输入完成
2025-12-11 at 15:02:33 | INFO | 密码输入完成
2025-12-11 at 15:02:34 | INFO | 已勾选协议
2025-12-11 at 15:02:34 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:02:34 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:02:34 | INFO | 图片保存成功：background.png
2025-12-11 at 15:02:56 | INFO | 正在初始化
2025-12-11 at 15:02:56 | INFO | 初始化完成
2025-12-11 at 15:03:00 | INFO | 无学习任务，直接退出
2025-12-11 at 15:05:12 | INFO | 正在初始化
2025-12-11 at 15:05:14 | INFO | 账号输入完成
2025-12-11 at 15:05:16 | INFO | 密码输入完成
2025-12-11 at 15:05:16 | INFO | 已勾选协议
2025-12-11 at 15:05:16 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:05:16 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:05:16 | INFO | 图片保存成功：background.png
2025-12-11 at 15:06:50 | INFO | 正在初始化
2025-12-11 at 15:07:34 | INFO | 正在初始化
2025-12-11 at 15:07:42 | INFO | 账号输入完成
2025-12-11 at 15:07:44 | INFO | 密码输入完成
2025-12-11 at 15:07:44 | INFO | 已勾选协议
2025-12-11 at 15:07:44 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:08:21 | INFO | 正在初始化
2025-12-11 at 15:08:24 | INFO | 账号输入完成
2025-12-11 at 15:08:26 | INFO | 密码输入完成
2025-12-11 at 15:08:26 | INFO | 已勾选协议
2025-12-11 at 15:08:26 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:08:26 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:08:26 | INFO | 图片保存成功：background.png
2025-12-11 at 15:10:05 | INFO | 正在初始化
2025-12-11 at 15:10:08 | INFO | 账号输入完成
2025-12-11 at 15:10:10 | INFO | 密码输入完成
2025-12-11 at 15:10:10 | INFO | 已勾选协议
2025-12-11 at 15:10:10 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:10:10 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:10:10 | INFO | 图片保存成功：background.png
2025-12-11 at 15:10:39 | INFO | 正在初始化
2025-12-11 at 15:10:39 | INFO | 初始化完成
2025-12-11 at 15:10:43 | INFO | 无学习任务，直接退出
2025-12-11 at 15:16:59 | INFO | 正在初始化
2025-12-11 at 15:17:23 | INFO | 正在初始化
2025-12-11 at 15:17:57 | INFO | 正在初始化
2025-12-11 at 15:18:39 | INFO | 正在初始化
2025-12-11 at 15:19:20 | INFO | 正在初始化
2025-12-11 at 15:20:48 | INFO | 正在初始化
2025-12-11 at 15:20:48 | INFO | 初始化完成
2025-12-11 at 15:21:35 | INFO | 正在初始化
2025-12-11 at 15:21:35 | INFO | 初始化完成
2025-12-11 at 15:22:57 | INFO | 正在初始化
2025-12-11 at 15:22:57 | INFO | 初始化完成
2025-12-11 at 15:25:58 | INFO | 正在初始化
2025-12-11 at 15:25:58 | INFO | 初始化完成
2025-12-11 at 15:28:16 | INFO | 正在初始化
2025-12-11 at 15:28:16 | INFO | 初始化完成
2025-12-11 at 15:28:18 | INFO | 账号输入完成
2025-12-11 at 15:28:20 | INFO | 密码输入完成
2025-12-11 at 15:28:20 | INFO | 已勾选协议
2025-12-11 at 15:28:20 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:28:20 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:28:20 | INFO | 图片保存成功：background.png
2025-12-11 at 15:28:27 | INFO | 无学习任务，直接退出
2025-12-11 at 15:30:15 | INFO | 正在初始化
2025-12-11 at 15:30:15 | INFO | 初始化完成
2025-12-11 at 15:30:17 | INFO | 账号输入完成
2025-12-11 at 15:30:19 | INFO | 密码输入完成
2025-12-11 at 15:30:19 | INFO | 已勾选协议
2025-12-11 at 15:30:19 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:30:19 | INFO | 图片保存成功：slider.png
2025-12-11 at 15:30:19 | INFO | 图片保存成功：background.png
2025-12-11 at 15:30:25 | INFO | 无学习任务，直接退出
2025-12-11 at 15:30:51 | INFO | 正在初始化
2025-12-11 at 15:30:51 | INFO | 初始化完成
2025-12-11 at 15:30:54 | INFO | 账号输入完成
2025-12-11 at 15:30:56 | INFO | 密码输入完成
2025-12-11 at 15:30:56 | INFO | 已勾选协议
2025-12-11 at 15:30:56 | INFO | 已提交，即将进入滑块验证码
2025-12-11 at 15:30:56 | INFO | 图片保存成功：slider.png
